matchId,label,date,dateutc,status,competitionId,seasonId,roundId,gameweek
5740734,"CF Os Belenenses - Lusitano Évora 1911, 1-0",2025-08-23 17:00:00,2025-08-23 15:00:00,Played,43324,191782,4435575,3
5740737,"1º Dezembro - Amora, 0-0",2025-08-22 21:00:00,2025-08-22 19:00:00,Played,43324,191782,4435575,3
5740724,"CF Os Belenenses - Atlético CP, 1-0",2025-08-17 21:00:00,2025-08-17 19:00:00,Played,43324,191782,4435575,2
5740726,"Académica - União Santarém, 1-0",2025-08-17 19:00:00,2025-08-17 17:00:00,Played,43324,191782,4435575,2
5740725,"Lusitano Évora 1911 - Mafra, 4-1",2025-08-17 18:00:00,2025-08-17 16:00:00,Played,43324,191782,4435575,2
5740719,"Paredes - Fafe, 1-1",2025-08-17 17:00:00,2025-08-17 15:00:00,Played,43324,191782,4435575,2
5740722,"Vitória Guimarães II - Amarante, 2-3",2025-08-17 12:00:00,2025-08-17 10:00:00,Played,43324,191782,4435575,2
5740728,"Amora - Caldas, 0-1",2025-08-16 19:00:00,2025-08-16 17:00:00,Played,43324,191782,4435575,2
5740727,"Sporting Covilhã - 1º Dezembro, 0-1",2025-08-16 19:00:00,2025-08-16 17:00:00,Played,43324,191782,4435575,2
5740723,"Sanjoanense - AD Marco 09, 0-0",2025-08-16 17:00:00,2025-08-16 15:00:00,Played,43324,191782,4435575,2
5740721,"Varzim - São João Ver, 4-0",2025-08-16 17:00:00,2025-08-16 15:00:00,Played,43324,191782,4435575,2
5740720,"Trofense - Sporting Braga II, 2-0",2025-08-16 12:00:00,2025-08-16 10:00:00,Played,43324,191782,4435575,2
5740713,"Fafe - Sanjoanense, 0-2",2025-08-10 19:00:00,2025-08-10 17:00:00,Played,43324,191782,4435575,1
5740711,"Amarante - Varzim, 0-1",2025-08-10 17:00:00,2025-08-10 15:00:00,Played,43324,191782,4435575,1
5740712,"AD Marco 09 - Vitória Guimarães II, 0-0",2025-08-10 17:00:00,2025-08-10 15:00:00,Played,43324,191782,4435575,1
5740716,"1º Dezembro - Académica, 2-1",2025-08-09 21:00:00,2025-08-09 19:00:00,Played,43324,191782,4435575,1
5740717,"Caldas - Sporting Covilhã, 2-1",2025-08-09 19:00:00,2025-08-09 17:00:00,Played,43324,191782,4435575,1
5740715,"União Santarém - Lusitano Évora 1911, 1-0",2025-08-09 19:00:00,2025-08-09 17:00:00,Played,43324,191782,4435575,1
5740718,"Atlético CP - Amora, 0-1",2025-08-09 17:00:00,2025-08-09 15:00:00,Played,43324,191782,4435575,1
5740710,"São João Ver - Trofense, 0-0",2025-08-09 17:00:00,2025-08-09 15:00:00,Played,43324,191782,4435575,1
5740714,"Mafra - CF Os Belenenses, 1-1",2025-08-09 12:00:00,2025-08-09 10:00:00,Played,43324,191782,4435575,1
5740709,"Sporting Braga II - Paredes, 1-0",2025-08-08 21:00:00,2025-08-08 19:00:00,Played,43324,191782,4435575,1
