playerId,name,status,tm_id,tm_name,score,fields,tm_url,expected_club,tm_club
298244,Bruno Pinto,low_confidence,545594.0,Bruno Pinto,100.0,name,https://www.transfermarkt.com/bruno-pinto/profil/spieler/545594,Felgueiras 1932,FC Ararat-Armenia
299080,Raphael Aflalo Lopes Martins,low_confidence,613505.0,Raphael Aflalo,80.0,"name,age±1",https://www.transfermarkt.com/raphael-aflalo/profil/spieler/613505,Felgueiras 1932,US Olympia 1963
299081,Murilo Rosa,low_confidence,617900.0,Murilo Rosa,100.0,name,https://www.transfermarkt.com/murilo-rosa/profil/spieler/617900,Fafe,Inhumas EC
299992,J. Balanta,no_match,,,,,,,
300796,Luiz Carlos Grando Junior,low_confidence,959943.0,Luiz Grando,80.0,"name,age±1",https://www.transfermarkt.com/luiz-grando/profil/spieler/959943,Moncarapachense,Without Club
302647,Ricardo Jorge da Silva Nogueira Rodrigues,no_match,,,,,,,
302675,João Pedro  Figueiredo Mascarenhas,no_match,,,,,,,
302716,Kelvin Yannick Fortes Monteiro,low_confidence,544785.0,Zimbabwe,30.0,"name,age±1",https://www.transfermarkt.com/zimbabwe/profil/spieler/544785,Anadia,O Elvas CAD
302719,Filipe Gabriel Gonçalves Ferreira,low_confidence,314707.0,Pipo,55.0,"name,age±1,club:Caldas",https://www.transfermarkt.com/pipo/profil/spieler/314707,Caldas,Caldas SC
302724,José Henrique de Sousa Faria,low_confidence,742217.0,Ricky,30.0,"name,age±1",https://www.transfermarkt.com/ricky/profil/spieler/742217,Fafe,Without Club
326477,Silvério,matched,321934.0,Silvério,175.0,"name,club:Lusitania FC Lourosa",https://www.transfermarkt.com/silverio/profil/spieler/321934,Lusitania FC Lourosa,Lusitânia FC Lourosa
326489,Diogo Cruz Xavier Gonçalves,low_confidence,402745.0,Diogo Gonçalves,80.0,"name,age±1",https://www.transfermarkt.com/diogo-goncalves/profil/spieler/402745,Vianense,Without Club
328541,Diogo Mineiro Clemente,matched,556651.0,Diogo Clemente,121.7,"name,age±1,club:Caldas",https://www.transfermarkt.com/diogo-clemente/profil/spieler/556651,Caldas,Caldas SC
330694,Rui Dabó,matched,430112.0,Rui Dabó,150.0,"name,club:UD Oliveirense",https://www.transfermarkt.com/rui-dabo/profil/spieler/430112,UD Oliveirense,UD Oliveirense
330721,Ivanildo Silva Nhaga,low_confidence,594881.0,Ivanildo,63.3,"name,age±1",https://www.transfermarkt.com/ivanildo/profil/spieler/594881,Varzim,Cheonan City
333624,Douglas Abner  Almeida dos Santos,no_match,,,,,,,
338203,Miguel Campos,low_confidence,335744.0,Miguel Campos,100.0,name,https://www.transfermarkt.com/miguel-campos/profil/spieler/335744,Anadia,FC Oleksandriya
338207,Henrique Jorge Pereira Brito,low_confidence,450460.0,Henrique Brito,80.0,"name,age±1",https://www.transfermarkt.com/henrique-brito/profil/spieler/450460,Felgueiras 1932,SC Vianense
338217,Diogo Firmino da Silva Fernandes,low_confidence,353845.0,Diogo Firmino,70.0,"name,age±1",https://www.transfermarkt.com/diogo-firmino/profil/spieler/353845,Canelas 2010,AFC Gandra
338220,Miguel Silva,low_confidence,336756.0,Miguel Silva,100.0,name,https://www.transfermarkt.com/miguel-silva/profil/spieler/336756,São João Ver,Beitar Jerusalem
338234,Miguel Ângelo,low_confidence,33255.0,Miguel Ângelo,100.0,name,https://www.transfermarkt.com/miguel-angelo/profil/spieler/33255,Montalegre,Retired
338236,Marcos Paulo Lima Barbeiro,low_confidence,329653.0,Marcos Barbeiro,80.0,"name,age±1",https://www.transfermarkt.com/marcos-barbeiro/profil/spieler/329653,Real SC,AC Malveira
338246,Luís Ká,low_confidence,21725.0,Filipe Luís,33.3,name,https://www.transfermarkt.com/filipe-luis/profil/spieler/21725,Sanjoanense,Retired
338252,Muelson Herry Samate,low_confidence,358172.0,Muelson Samate,96.7,"name,age±1",https://www.transfermarkt.com/muelson-samate/profil/spieler/358172,Montalegre,AD Limianos
