feature,coef_std,abs_coef
age,-0.3896036015953876,0.3896036015953876
signed_log_tv,0.12160672508787147,0.12160672508787147
pos_GK,0.08338575231578697,0.08338575231578697
pos_CB,-0.07815539332068837,0.07815539332068837
league_factor,0.06134364632379656,0.06134364632379656
log_mins_season,0.03479579240911712,0.03479579240911712
log_career_mins,-0.03437507240691289,0.03437507240691289
season_year,-0.03136303026645813,0.03136303026645813
xg_residual_career,-0.0162053763972128,0.0162053763972128
pos_AM_WG,-0.010873738899326036,0.010873738899326036
n_seasons_played,0.006283116292847666,0.006283116292847666
pos_ST,0.0062486485595426924,0.0062486485595426924
pos_FB,-0.004193061778212741,0.004193061778212741
passport_pt,0.0,0.0
